Column1;Title;Price;Address;Suburb;Type;bedroom;bathroom;lat;lon;garage
0;3 Bed House in White River; 1 695 000;3 Hulala;White River;House;3;2;-25.326269999999965;31.022020000000055;
1;5 Bed House in White River; 2 700 000;173 The Ranch;White River;House;5;5;-25.326269999999965;31.022020000000055;2
2;4 Bed House in White River; 2 750 000;26 Van Riebeeck Street;White River;House;4;3;-25.332709995719;31.006240002348193;
3;4 Bed House in White River; 7 500 000;3 Hills Loop;White River;House;4;3;-25.326269999999965;31.022020000000055;2
4;4 Bed House in Longmere Estate; 13 650 000;4 Longmere;White River;House;4;4;-25.31637999476696;31.002200008836667;3
5;9 Bed House in White River; 5 500 000;White River;White River;House;9;10;;;2
6;1 Bed Apartment in White River; 525 000;8 The Village 2 Japie Theron Street;White River;Apartment;1;1;-25.325899992755566;31.022699964708977;
7;1 Bed Apartment in White River; 525 000;8 The Village 2 Japie Theron;White River;Apartment;1;1;-25.325899992755566;31.022699964708977;
8;2 Bed Apartment in White River; 695 000;5 Stelliahof 18 Alie Van Bergen Street;White River;Apartment;2;1;-25.33221001519459;31.01365002385046;
9;2 Bed House in White River; 695 000;20 Annalta 26 Tom Lawrence Street;White River;House;2;1;-25.322732807367025;31.025286187408028;
10;2 Bed Townhouse in White River Central; 734 000;16 Varinghof 2 Willem Swanepoel;White River;Townhouse;2;1;-25.32850844658249;31.014743959089493;
11;2 Bed Apartment in White River; 820 000;12 Matsafeni 90 Outeniqua;White River;Apartment;2;2;-25.332189982445996;30.9972299593488;
12;3 Bed House in White River; 1 299 000;4 Vlier Street;White River;House;3;1;-25.31862001648109;31.01451998158103;2
13;3 Bed House in White River; 1 380 000;14 Patio Village 9 Peter Graham Street;White River;House;3;2;-25.32921998078433;31.020350014334696;1
14;3 Bed House in White River; 1 595 000;11 Hazel Crescent;White River;House;3;2;-25.322810004149943;31.03043998173925;2
15;3 Bed House in White River; 1 650 000;71 Impala Street;White River;House;3;2;-25.324430016486176;31.004929994700916;2
16;5 Bed House in White River; 1 795 000;4 Syd Cornwell Street;White River;House;5;3;-25.330390010648586;31.0090099698906;1
17;5 Bed House in White River; 1 795 000;13 Drakensberg Street;White River;House;5;2;-25.322499999461;31.004430014176506;2
18;4 Bed House in White River; 2 250 000;22 Hazey River Country Estate 19 Crocodile Close;White River;House;4;4;-25.284120771258443;31.00470102671631;
19;4 Bed House in Parkville; 2 500 000;13 Essenhout Street;White River;House;4;2;-25.323790016269214;31.007469962820153;
20;4 ha Farm in White River; 2 700 000;White River;White River;Farm;5;3;;;2
21;5 Bed House in White River; 2 850 000;8 Bongani;White River;House;5;5;-25.326269999999965;31.022020000000055;2
22;4 Bed House in White River; 2 990 000;121 Heidelberg;White River;House;4;3;-25.326269999999965;31.022020000000055;
23;5587 m� Smallholding in White River; 3 890 000;116 Primkop;White River;Small Holding;;;-25.31681498704693;30.999930876454034;3
24;4 Bed House in White River; 4 895 000;1 Touyz;White River;House;4;3;-25.352095999367993;31.005575147364787;2
25;4 Bed House in White River; 5 500 000;13 Summer Breeze Estate;White River;House;4;3;-25.298209999999983;30.99409000000003;4
26;4 Bed House in White River; 5 600 000;20 Wild Fig Country Estate Wild Fig;White River;House;4;3.5;-25.378319999999974;31.02380000000005;3
27;14.8 ha Smallholding in White River; 7 950 000;White River;White River;Small Holding;;;;;3
